LOCALIDAD,ESPECIE,Cantidad
1,Canino,4537
1,Felino,3351
2,Canino,1810
2,Felino,976
3,Canino,1864
3,Felino,1356
4,Canino,6911
4,Felino,6787
5,Canino,10976
5,Felino,10693
6,Canino,8179
6,Felino,5371
7,Canino,7723
7,Felino,5250
8,Canino,12007
8,Felino,8565
9,Canino,4268
9,Felino,2645
10,Canino,10557
10,Felino,7056
11,Canino,11832
11,Felino,8547
12,Canino,1942
12,Felino,1148
13,Canino,1815
13,Felino,656
14,Canino,1270
14,Felino,1102
15,Canino,2041
15,Felino,1431
16,Canino,4338
16,Felino,2665
17,Canino,674
17,Felino,557
18,Canino,7343
18,Felino,6900
19,Canino,14229
19,Felino,9639
20,Canino,224
20,Felino,77
21,Canino,470
21,Felino,77
22,Canino,5156
22,Felino,1683
